symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,price_range,price_change,percent_change,candle_direction
DOGEUSDT,1h,2026-06-28 08:00:00+00:00,0.07378,0.07429,0.07367,0.07408,14389060.0,2026-06-28 08:59:59.999000+00:00,1065011.88804,13366.0,6119265.0,452814.85569,0.0006199999999999956,0.0002999999999999947,0.4066142586066613,up
DOGEUSDT,1h,2026-06-21 22:00:00+00:00,0.08289,0.08313,0.08267,0.08291,8748480.0,2026-06-21 22:59:59.999000+00:00,724970.28573,14889.0,4794683.0,397398.36153,0.0004600000000000021,1.9999999999992246e-05,0.02412836289056852,up
DOGEUSDT,1h,2026-06-27 07:00:00+00:00,0.07572,0.07588,0.07558,0.07582,7504580.0,2026-06-27 07:59:59.999000+00:00,568392.71812,6853.0,3472021.0,262983.57189,0.0003000000000000086,0.00010000000000000286,0.13206550449023094,up
DOGEUSDT,1h,2026-05-25 02:00:00+00:00,0.10181,0.10269,0.10181,0.10218,13433293.0,2026-05-25 02:59:59.999000+00:00,1374445.71743,19028.0,6469992.0,662194.11877,0.0008800000000000058,0.0003700000000000092,0.36342206070131544,up
DOTUSDT,1h,2026-06-13 05:00:00+00:00,0.966,0.968,0.961,0.967,220170.91,2026-06-13 05:59:59.999000+00:00,212390.47757,782.0,99832.91,96284.38266,0.007000000000000006,0.0010000000000000009,0.10351966873706013,up
DOTUSDT,1h,2026-06-03 11:00:00+00:00,1.127,1.133,1.114,1.117,308485.44,2026-06-03 11:59:59.999000+00:00,347362.56836,2029.0,151423.96,170526.08085,0.018999999999999906,-0.010000000000000009,-0.8873114463176583,down
DOTUSDT,1h,2026-06-22 18:00:00+00:00,0.956,0.958,0.944,0.946,229378.57,2026-06-22 18:59:59.999000+00:00,217909.80663,1102.0,91738.5,87232.40633,0.014000000000000012,-0.010000000000000009,-1.0460251046025115,down
DOTUSDT,1h,2026-05-24 12:00:00+00:00,1.28,1.28,1.269,1.275,170885.06,2026-05-24 12:59:59.999000+00:00,217572.10965,1015.0,85346.49,108650.25608,0.01100000000000012,-0.0050000000000001155,-0.390625000000009,down
DOTUSDT,1h,2026-05-27 05:00:00+00:00,1.253,1.265,1.25,1.265,268992.24,2026-05-27 05:59:59.999000+00:00,338454.89826,1965.0,166701.1,209834.71581,0.014999999999999902,0.01200000000000001,0.9577015163607351,up
ETHUSDT,1h,2026-06-09 12:00:00+00:00,1671.96,1683.32,1671.04,1676.9,15615.6314,2026-06-09 12:59:59.999000+00:00,26186116.708541,124136.0,-7608.6524,12759022.849999,12.279999999999973,4.940000000000055,0.2954616139142117,up
